2026-03-11 19:56:32 | SUCCESS  | dataset_capture:94 | Saved [bottle] → bottle_00037.jpg
2026-03-11 19:56:32 | SUCCESS  | dataset_capture:94 | Saved [bottle] → bottle_00038.jpg
2026-03-11 19:56:32 | SUCCESS  | dataset_capture:94 | Saved [bottle] → bottle_00039.jpg
2026-03-11 19:56:34 | SUCCESS  | dataset_capture:94 | Saved [bottle] → bottle_00040.jpg
2026-03-11 19:56:35 | SUCCESS  | dataset_capture:94 | Saved [bottle] → bottle_00041.jpg
2026-03-11 19:56:35 | SUCCESS  | dataset_capture:94 | Saved [bottle] → bottle_00042.jpg
2026-03-11 19:56:35 | SUCCESS  | dataset_capture:94 | Saved [bottle] → bottle_00043.jpg
2026-03-11 19:56:35 | SUCCESS  | dataset_capture:94 | Saved [bottle] → bottle_00044.jpg
2026-03-11 19:56:35 | SUCCESS  | dataset_capture:94 | Saved [bottle] → bottle_00045.jpg
2026-03-11 19:56:53 | SUCCESS  | dataset_capture:94 | Saved [cat] → cat_00007.jpg
2026-03-11 19:56:53 | SUCCESS  | dataset_capture:94 | Saved [cat] → cat_00008.jpg
2026-03-11 19:57:01 | SUCCESS  | dataset_capture:94 | Saved [dog] → dog_00001.jpg
2026-03-11 19:57:02 | SUCCESS  | dataset_capture:94 | Saved [dog] → dog_00002.jpg
2026-03-11 19:57:02 | SUCCESS  | dataset_capture:94 | Saved [dog] → dog_00003.jpg
2026-03-11 19:57:04 | SUCCESS  | dataset_capture:94 | Saved [dog] → dog_00004.jpg
2026-03-11 19:57:06 | SUCCESS  | dataset_capture:94 | Saved [dog] → dog_00005.jpg
2026-03-11 19:57:07 | SUCCESS  | dataset_capture:94 | Saved [dog] → dog_00006.jpg
2026-03-11 19:57:08 | SUCCESS  | dataset_capture:94 | Saved [dog] → dog_00007.jpg
2026-03-11 19:57:08 | SUCCESS  | dataset_capture:94 | Saved [dog] → dog_00008.jpg
2026-03-11 19:57:09 | SUCCESS  | dataset_capture:94 | Saved [dog] → dog_00009.jpg
2026-03-11 19:57:12 | INFO     | dataset_capture:195 | Capture session complete — 65 total images.
